accession,line_type,institution,location,expt_type,expt_id,farm_plantnum,plant_id,tray,row,column,germ,seed_total,outcome,parent_plant_id,comments
SALK_049803c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0243,BC_S11Farm_0243,N,,,Y,200,,,
SALK_049848c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0244,BC_S11Farm_0244,N,,,Y,200,,,
SALK_049888c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0245,BC_S11Farm_0245,N,,,Y,> 200,,,
SALK_049966c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0246,BC_S11Farm_0246,N,,,Y,200,,,
SALK_049990c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0247,BC_S11Farm_0247,N,,,Y,100,,,
SALK_050000c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0248,BC_S11Farm_0248,N,,,Y,200,,,
SALK_050005c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0249,BC_S11Farm_0249,N,,,Y,200,,,
SALK_050009c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0250,BC_S11Farm_0250,N,,,Y,500,,,
SALK_050028c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0251,BC_S11Farm_0251,N,,,Y,200,,,
SALK_050090c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0252,BC_S11Farm_0252,N,,,Y,300,,,
SALK_050111c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0253,BC_S11Farm_0253,N,,,Y,400,,,
SALK_050116c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0254,BC_S11Farm_0254,N,,,Y,> 200,,,
SALK_050130c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0255,BC_S11Farm_0255,N,,,Y,200,,,
SALK_050141c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0256,BC_S11Farm_0256,N,,,Y,100,,,
SALK_050145c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0257,BC_S11Farm_0257,N,,,Y,200,,,
SALK_050152c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0258,BC_S11Farm_0258,N,,,Y,500,,,
SALK_050182c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0259,BC_S11Farm_0259,N,,,Y,200,,,
SALK_050203c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0260,BC_S11Farm_0260,N,,,Y,200,,,
SALK_050207c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0019,BC_S11Farm_0019,M,,,N,,DNG,,
SALK_050239c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0447,BC_S11Farm_0447,M,,,Y,> 200,,,
SALK_050249c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0020,BC_S11Farm_0020,M,,,N,,DNG,,
SALK_050261c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0261,BC_S11Farm_0261,M,,,Y,> 200,,,
SALK_050266c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0262,BC_S11Farm_0262,M,,,Y,300,,,full inf. when found bolting
SALK_050287c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0263,BC_S11Farm_0263,M,,,Y,> 200,,,
SALK_050561c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0264,BC_S11Farm_0264,M,,,Y,> 100,,,
SALK_050669c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0265,BC_S11Farm_0265,M,,,Y,> 500,,,
SALK_050704c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0266,BC_S11Farm_0266,M,,,Y,300,,,
SALK_050728c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0267,BC_S11Farm_0267,M,,,Y,0,INS_FRUIT,,
SALK_050756c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0268,BC_S11Farm_0268,M,,,Y,3,INS_FRUIT,,
SALK_050903c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0269,BC_S11Farm_0269,M,,,Y,> 500,,,
SALK_050906c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0270,BC_S11Farm_0270,M,,,Y,> 200,,,
SALK_050915c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0271,BC_S11Farm_0271,M,,,Y,0,INS_FRUIT,,
SALK_050923c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0272,BC_S11Farm_0272,M,,,Y,> 500,,,
SALK_050926c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0273,BC_S11Farm_0273,M,,,Y,0,INS_FRUIT,,
SALK_050938c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0274,BC_S11Farm_0274,M,,,Y,> 100,,,
SALK_050948c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0275,BC_S11Farm_0275,M,,,Y,> 100,,,
SALK_050949c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0276,BC_S11Farm_0276,M,,,Y,0,INS_FRUITS,,stunted fruits
SALK_051012c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0277,BC_S11Farm_0277,M,,,Y,100,,,
SALK_051039c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0278,BC_S11Farm_0278,M,,,Y,> 200,,,
SALK_051074c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0279,BC_S11Farm_0279,M,,,Y,100,,,
SALK_073574c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0021,BC_S11Farm_0021,M,,,Y,,INS_FRUIT,,
SALK_073617c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0280,BC_S11Farm_0280,M,,,Y,200,,,
SALK_073648c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0448,BC_S11Farm_0448,M,,,Y,> 200,,,
SALK_073662c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0022,BC_S11Farm_0022,M,,,N,,DNG,,
SALK_073669c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0281,BC_S11Farm_0281,M,,,Y,500,,,
SALK_073708c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0023,BC_S11Farm_0023,L,,,Y,,DIED,,plant died
SALK_073717c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0282,BC_S11Farm_0282,L,,,Y,0,INS_FRUIT,,
SALK_073728c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0283,BC_S11Farm_0283,L,,,Y,300,,,
SALK_073738c,RAND_BIN_LINE,BC,BC-GC1,DF,1,0284,BC_S11Farm_0284,L,,,Y,200,,,
