accession,plant_num,plant_id,institution,expt_type,expt_ID,tray,row,column,parent_plant_id,facility,seed_stock_location,seed_quantity,isolation_id,comments,comments.orig,used_in_exptID
SALK_106364C,1,CofC_S11Farm_1315,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_40,>100,I12-K05-7,plantum=1|  other comments ,,
SALK_106364C,1H,CofC_S11Farm_1316,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1H|  other comments ,,
SALK_106364C,2A,CofC_S11Farm_1317,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_24,>100,,plantum=2A|  other comments ,,
SALK_106364C,2B,CofC_S11Farm_1318,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_46,50,,plantum=2B|  other comments ,,
SALK_106466C,1,CofC_S11Farm_1319,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_39,>>100,I12-K06-15,plantum=1|  other comments ,,
SALK_106466C,2A,CofC_S11Farm_1320,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_38,>100,,plantum=2A|  other comments ,,
SALK_106466C,2B,CofC_S11Farm_1321,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2B|  other comments ,,
SALK_106920C,3,CofC_S11Farm_1322,CofC,DF,1,,,,,NGH-COFC,S11Farm_BoxC_1,,I11-L14-1,plantum=3|  other comments ,,
SALK_106920C,4,CofC_S11Farm_1323,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_49,>100,I12-G06-14,plantum=4|  other comments ,,
SALK_106920C,1A,CofC_S11Farm_1324,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box08_46,>100,,plantum=1A|  other comments ,,
SALK_106920C,1B,CofC_S11Farm_1325,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1B|  other comments ,,
SALK_106920C,1C,CofC_S11Farm_1326,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_18,100,,plantum=1C|  other comments ,,
SALK_106920C,1H,CofC_S11Farm_1327,CofC,DF,1,,,,,NGH-COFC,,,I12-K02-8,plantum=1H|  other comments ,,
SALK_106920C,2A,CofC_S11Farm_1328,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box08_35,50,,plantum=2A|  other comments ,,
SALK_106920C,2B,CofC_S11Farm_1329,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box11_28,>100,I12-V02-18,plantum=2B|  other comments ,,
SALK_106983C,2,CofC_S11Farm_1330,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_76,100,,plantum=2|  other comments ,,
SALK_106983C,1A,CofC_S11Farm_1331,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_52,100,6/6/2016,plantum=1A|  other comments ,,
SALK_106983C,1B,CofC_S11Farm_1332,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_11,40,9/28/2015,plantum=1B|  other comments ,,
SALK_106983C,1H,CofC_S11Farm_1333,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1H|  other comments ,,
SALK_107620C,1A,CofC_S11Farm_1334,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_43,120,,plantum=1A|  other comments ,,
SALK_107620C,1B,CofC_S11Farm_1335,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_4,100,,plantum=1B|  other comments ,,
SALK_107620C,2A,CofC_S11Farm_1336,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_30,180,I12-G02-5,plantum=2A|  other comments ,,
SALK_107620C,2B,CofC_S11Farm_1337,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_69,10,,plantum=2B|  other comments ,,
SALK_107689C,2,CofC_S11Farm_1338,CofC,DF,1,,,,,NGH-COFC,,,I11-V03-10,plantum=2|  other comments ,,
SALK_107712C,1A,CofC_S11Farm_1339,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1A|  other comments ,,
SALK_107712C,1B,CofC_S11Farm_1340,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_70,50,I12-K04-10,plantum=1B|  other comments ,,
SALK_107712C,1H,CofC_S11Farm_1341,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1H|  other comments ,,
SALK_107712C,2A,CofC_S11Farm_1342,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box07_3,50,,plantum=2A|  other comments ,,
SALK_107712C,2B,CofC_S11Farm_1343,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box12_18,90,,plantum=2B|  other comments ,,
SALK_107712C,2H,CofC_S11Farm_1344,CofC,DF,1,,,,,NGH-COFC,,,I12-K05-4,plantum=2H|  other comments ,,
SALK_107750C,2,CofC_S11Farm_1345,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2|  other comments ,,
SALK_107750C,1A,CofC_S11Farm_1346,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_55,70,,plantum=1A|  other comments ,,
SALK_107750C,1B,CofC_S11Farm_1347,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1B|  other comments ,,
SALK_107750C,1C,CofC_S11Farm_1348,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box11_59,100,,plantum=1C|  other comments ,,
SALK_107750C,2B,CofC_S11Farm_1349,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box14_3,100,,plantum=2B|  other comments ,,
SALK_107750C,2H,CofC_S11Farm_1350,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_60,60,,plantum=2H|  other comments ,,
SALK_107968C,1,CofC_S11Farm_1351,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_45,50,,plantum=1|  other comments ,,
SALK_107968C,2,CofC_S11Farm_1352,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_46,100,I12-G02-3,plantum=2|  other comments ,,
SALK_107968C,1H,CofC_S11Farm_1353,CofC,DF,1,,,,,NGH-COFC,Hanna_Box03_7,>100,,plantum=1H|  other comments ,,
SALK_108185C,1A,CofC_S11Farm_1354,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_30,100,I11-G03-4,plantum=1A|  other comments ,,
SALK_108185C,1B,CofC_S11Farm_1355,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_54,50,,plantum=1B|  other comments ,,
SALK_108185C,2A,CofC_S11Farm_1356,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_29,100,,plantum=2A|  other comments ,,
SALK_108185C,2B,CofC_S11Farm_1357,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2B|  other comments ,,
SALK_108447C,,CofC_S11Farm_1358,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_108620C,1,CofC_S11Farm_1359,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_26,>100,I11-G05-12,plantum=1|  other comments ,,
SALK_108620C,2,CofC_S11Farm_1360,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_25,75,,plantum=2|  other comments ,,
SALK_108622C,2,CofC_S11Farm_1361,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_25,15,,plantum=2|  other comments ,,
SALK_108622C,1A,CofC_S11Farm_1362,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_34,100,I12-G05-29,plantum=1A|  other comments ,,
SALK_108622C,1B,CofC_S11Farm_1363,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_29,12,,plantum=1B|  other comments ,,
SALK_110440C,1,CofC_S11Farm_1364,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_74,20,,plantum=1|  other comments ,,
SALK_110440C,2,CofC_S11Farm_1365,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_55,50,I11-G01-21,plantum=2|  other comments ,,
SALK_110563C,1A,CofC_S11Farm_1366,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_56,100,I12-P12-8,plantum=1A|  other comments ,,
SALK_110563C,1B,CofC_S11Farm_1367,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_50,80,I12-K02-12,plantum=1B|  other comments ,,
SALK_110563C,2A,CofC_S11Farm_1368,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_51,70,,plantum=2A|  other comments ,,
SALK_110563C,2B,CofC_S11Farm_1369,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_48,100,I12-G02-21,plantum=2B|  other comments ,,
SALK_110563C,2H,CofC_S11Farm_1370,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2H|  other comments ,,
SALK_110587C,1,CofC_S11Farm_1371,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_33,>100,I11-V04-7,plantum=1|  other comments ,,
SALK_110587C,2,CofC_S11Farm_1372,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box09_32,40,I11-V09-11,plantum=2|  other comments ,,
SALK_110691C,1,CofC_S11Farm_1373,CofC,DF,1,,,,,NGH-COFC,,,I12-L10-10,plantum=1|  other comments ,,
SALK_110691C,1H,CofC_S11Farm_1374,CofC,DF,1,,,,,NGH-COFC,Hanna_Box03_11,100,I12-G06-8,plantum=1H|  other comments ,,
SALK_110809C,2,CofC_S11Farm_1375,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box12_25,3,,plantum=2|  other comments ,,
SALK_110809C,2H,CofC_S11Farm_1376,CofC,DF,1,,,,,NGH-COFC,,,,plantum=2H|  other comments ,,
SALK_110830C,1A,CofC_S11Farm_1377,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_28,>100,I12-K06-10,plantum=1A|  other comments ,,
SALK_110830C,1B,CofC_S11Farm_1378,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_33,50,I11-V13-8,plantum=1B|  other comments ,,
SALK_110830C,2A,CofC_S11Farm_1379,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box14_41,20,,plantum=2A|  other comments ,,
SALK_110830C,2B,CofC_S11Farm_1380,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_36,50,,plantum=2B|  other comments ,,
SALK_111046C,,CofC_S11Farm_1381,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_111105C,,CofC_S11Farm_1382,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments DNG,DNG,
SALK_111501C,1,CofC_S11Farm_1383,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_16,>100,I12-K04-4,plantum=1|  other comments ,,
SALK_111675C,1,CofC_S11Farm_1384,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1|  other comments ,,
SALK_111675C,2,CofC_S11Farm_1385,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_47,100,I12-G05-26,plantum=2|  other comments ,,
SALK_111675C,1H,CofC_S11Farm_1386,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_48,100,I12-K01-15,plantum=1H|  other comments ,,
SALK_111899C,,CofC_S11Farm_1387,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments FARM_FAIL,FARM_FAIL,
SALK_111964C,1,CofC_S11Farm_1388,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_8,1,I12-K13-2,plantum=1|  other comments ,,
SALK_112079C,1A,CofC_S11Farm_1389,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_16,150,,plantum=1A|  other comments ,,
SALK_112079C,1B,CofC_S11Farm_1390,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_48,100,I12-G02-17,plantum=1B|  other comments ,,
SALK_112079C,1H,CofC_S11Farm_1391,CofC,DF,1,,,,,NGH-COFC,,,I12-V02-16,plantum=1H|  other comments ,,
SALK_112241C,1A,CofC_S11Farm_1392,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_79,50,,plantum=1A|  other comments ,,
SALK_112241C,1B,CofC_S11Farm_1393,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_56,80,,plantum=1B|  other comments tissue in box F,tissue in box F,
SALK_112241C,2A,CofC_S11Farm_1394,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box04_80,50,,plantum=2A|  other comments ,,
SALK_112241C,2B,CofC_S11Farm_1395,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box06_73,30,,plantum=2B|  other comments ,,
SALK_112241C,2H,CofC_S11Farm_1396,CofC,DF,1,,,,,NGH-COFC,,,I12-V02-14,plantum=2H|  other comments ,,
SALK_112329C,1,CofC_S11Farm_1397,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_21,50,I11-V12-5,plantum=1|  other comments ,,
SALK_112329C,1B,CofC_S11Farm_1398,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_3,>100,I12-V02-4,plantum=1B|  other comments ,,
SALK_113062C,1,CofC_S11Farm_1399,CofC,DF,1,,,,,NGH-COFC,,,,plantum=1|  other comments ,,
SALK_113062C,2,CofC_S11Farm_1400,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box13_66,60,I12-G05-25,plantum=2|  other comments ,,
SALK_113062C,3,CofC_S11Farm_1401,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box14_60,1,,plantum=3|  other comments ,,
SALK_113194C,,CofC_S11Farm_1402,CofC,DF,1,,,,,NGH-COFC,,,,plantum=|  other comments DNG,DNG,
SALK_113353C,1,CofC_S11Farm_1403,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_78,100,I11-G04-28,plantum=1|  other comments ,,
SALK_113353C,2,CofC_S11Farm_1404,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box10_81,100,,plantum=2|  other comments ,,
SALK_113353C,3,CofC_S11Farm_1405,CofC,DF,1,,,,,NGH-COFC,Hanna_Box02_69,>100,I12-K01-1,plantum=3|  other comments ,,
SALK_113587C,2,CofC_S11Farm_1406,CofC,DF,1,,,,,NGH-COFC,S11Farm_Box15_31,>100,I12-W06-4,plantum=2|  other comments ,,
SALK_113587C,3,CofC_S11Farm_1407,CofC,DF,1,,,,,NGH-COFC,Hanna_Box01_51,90,I12-V04-3,plantum=3|  other comments ,,
