"exptid","accession","institution","facility","flat","row","column","expttype","ko.status","replicate","GC_locale","parent_id","phenotype","value","comments","treatment"
"1a1","CS22618","CofC","COFC-GC1",6,"F",1,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0067","fruitnum",20,"","standard GC"
"1a1","CS22618","CofC","COFC-GC2",7,"I",4,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0067","fruitnum",14,"","standard GC"
"1a1","CS22618","CofC","COFC-GC2",8,"C",4,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0067","fruitnum",22,"","standard GC"
"1a1","CS22618","CofC","COFC-GC2",9,"B",5,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0067","fruitnum",29,"","standard GC"
"1a1","CS22618","CofC","COFC-GC2",10,"H",2,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0067","fruitnum",21,"","standard GC"
"1a1","CS22618","CofC","COFC-GC2",11,"F",3,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0067","fruitnum",NA,"","standard GC"
"1a1","CS22618","CofC","COFC-GC2",12,"E",5,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0067","fruitnum",18,"","standard GC"
"1a1","CS22631","BC","BC-GC1",1,"B",6,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0067","fruitnum",26,"","standard GC"
"1a1","CS22631","BC","BC-GC1",2,"I",6,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0067","fruitnum",59,"","standard GC"
"1a1","CS22631","BC","BC-GC1",3,"E",2,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0067","fruitnum",37,"","standard GC"
"1a1","CS22631","BC","BC-GC1",4,"C",2,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0067","fruitnum",70,"","standard GC"
"1a1","CS22631","BC","BC-GC1",5,"G",2,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0067","fruitnum",70,"","standard GC"
"1a1","CS22631","BC","BC-GC1",6,"B",2,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0067","fruitnum",67,"","standard GC"
"1a1","CS22631","CofC","COFC-GC1",1,"H",5,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC1",2,"H",3,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0207","fruitnum",10,"","standard GC"
"1a1","CS22631","CofC","COFC-GC1",3,"K",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC1",4,"C",4,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0207","fruitnum",19,"","standard GC"
"1a1","CS22631","CofC","COFC-GC1",5,"A",4,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC1",6,"K",2,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC2",7,"E",3,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC2",8,"F",2,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC2",9,"F",5,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0207","fruitnum",0,"","standard GC"
"1a1","CS22631","CofC","COFC-GC2",10,"C",1,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC2",11,"B",3,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22631","CofC","COFC-GC2",12,"D",1,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0207","fruitnum",10,"","standard GC"
"1a1","CS22633","BC","BC-GC1",1,"D",5,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0207","fruitnum",56,"","standard GC"
"1a1","CS22633","BC","BC-GC1",2,"G",2,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0207","fruitnum",65,"","standard GC"
"1a1","CS22633","BC","BC-GC1",3,"L",1,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0207","fruitnum",35,"","standard GC"
"1a1","CS22633","BC","BC-GC1",4,"D",5,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0207","fruitnum",43,"","standard GC"
"1a1","CS22633","BC","BC-GC1",5,"C",2,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0207","fruitnum",57,"","standard GC"
"1a1","CS22633","BC","BC-GC1",6,"H",3,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0207","fruitnum",NA,"","standard GC"
"1a1","CS22633","CofC","COFC-GC1",1,"J",2,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0139","fruitnum",15,"","standard GC"
"1a1","CS22633","CofC","COFC-GC1",2,"A",1,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0139","fruitnum",21,"","standard GC"
"1a1","CS22633","CofC","COFC-GC1",3,"I",6,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0139","fruitnum",26,"","standard GC"
"1a1","CS22633","CofC","COFC-GC1",4,"C",6,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0139","fruitnum",NA,"","standard GC"
"1a1","CS22633","CofC","COFC-GC1",5,"B",2,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0139","fruitnum",14,"","standard GC"
"1a1","CS22633","CofC","COFC-GC1",6,"G",1,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0139","fruitnum",52,"","standard GC"
"1a1","CS22633","CofC","COFC-GC2",7,"L",4,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0139","fruitnum",13,"","standard GC"
"1a1","CS22633","CofC","COFC-GC2",8,"J",1,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0139","fruitnum",44,"","standard GC"
"1a1","CS22633","CofC","COFC-GC2",9,"C",4,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0139","fruitnum",15,"","standard GC"
"1a1","CS22633","CofC","COFC-GC2",10,"H",6,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0139","fruitnum",20,"","standard GC"
"1a1","CS22633","CofC","COFC-GC2",11,"I",5,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0139","fruitnum",29,"","standard GC"
"1a1","CS22633","CofC","COFC-GC2",12,"E",2,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0139","fruitnum",28,"","standard GC"
"1a1","CS22635","BC","BC-GC1",1,"I",4,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0139","fruitnum",113,"","standard GC"
"1a1","CS22635","BC","BC-GC1",2,"B",5,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0139","fruitnum",51,"","standard GC"
"1a1","CS22635","BC","BC-GC1",3,"E",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0139","fruitnum",50,"","standard GC"
"1a1","CS22635","BC","BC-GC1",4,"A",6,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0139","fruitnum",26,"","standard GC"
"1a1","CS22635","BC","BC-GC1",5,"A",2,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0139","fruitnum",67,"","standard GC"
"1a1","CS22635","BC","BC-GC1",6,"K",1,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0139","fruitnum",75,"","standard GC"
"1a1","CS22635","CofC","COFC-GC1",1,"J",4,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0219","fruitnum",10,"","standard GC"
"1a1","CS22635","CofC","COFC-GC1",2,"G",3,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0219","fruitnum",17,"","standard GC"
"1a1","CS22635","CofC","COFC-GC1",3,"J",4,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0219","fruitnum",34,"","standard GC"
"1a1","CS22635","CofC","COFC-GC1",4,"F",6,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0219","fruitnum",15,"","standard GC"
"1a1","CS22635","CofC","COFC-GC1",5,"G",1,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0219","fruitnum",12,"","standard GC"
"1a1","CS22635","CofC","COFC-GC1",6,"G",4,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0219","fruitnum",16,"","standard GC"
"1a1","CS22635","CofC","COFC-GC2",7,"G",6,"1ENVT_GC","PHYTO",1,"GC2","CofC_SF01_0219","fruitnum",12,"","standard GC"
"1a1","CS22635","CofC","COFC-GC2",8,"H",6,"1ENVT_GC","PHYTO",2,"GC2","CofC_SF01_0219","fruitnum",20,"","standard GC"
"1a1","CS22635","CofC","COFC-GC2",9,"H",2,"1ENVT_GC","PHYTO",3,"GC2","CofC_SF01_0219","fruitnum",29,"","standard GC"
"1a1","CS22635","CofC","COFC-GC2",10,"L",3,"1ENVT_GC","PHYTO",4,"GC2","CofC_SF01_0219","fruitnum",13,"","standard GC"
"1a1","CS22635","CofC","COFC-GC2",11,"F",1,"1ENVT_GC","PHYTO",5,"GC2","CofC_SF01_0219","fruitnum",22,"","standard GC"
"1a1","CS22635","CofC","COFC-GC2",12,"B",6,"1ENVT_GC","PHYTO",6,"GC2","CofC_SF01_0219","fruitnum",40,"","standard GC"
"1a1","CS22636","BC","BC-GC1",1,"B",3,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0219","fruitnum",46,"","standard GC"
"1a1","CS22636","BC","BC-GC1",2,"J",2,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0219","fruitnum",29,"","standard GC"
"1a1","CS22636","BC","BC-GC1",3,"L",5,"1ENVT_GC","PHYTO",3,"GC1","CofC_SF01_0219","fruitnum",52,"","standard GC"
"1a1","CS22636","BC","BC-GC1",4,"K",6,"1ENVT_GC","PHYTO",4,"GC1","CofC_SF01_0219","fruitnum",63,"","standard GC"
"1a1","CS22636","BC","BC-GC1",5,"H",5,"1ENVT_GC","PHYTO",5,"GC1","CofC_SF01_0219","fruitnum",24,"","standard GC"
"1a1","CS22636","BC","BC-GC1",6,"G",2,"1ENVT_GC","PHYTO",6,"GC1","CofC_SF01_0219","fruitnum",NA,"","standard GC"
"1a1","CS22636","CofC","COFC-GC1",1,"E",4,"1ENVT_GC","PHYTO",1,"GC1","CofC_SF01_0122","fruitnum",7,"","standard GC"
"1a1","CS22636","CofC","COFC-GC1",2,"G",1,"1ENVT_GC","PHYTO",2,"GC1","CofC_SF01_0122","fruitnum",15,"","standard GC"
