"exptid","accession","institution","facility","flat","row","column","fruitnum","aborted.fruits","inflorescence.height","diameter.at.bolt","treatment","parent_id"
"1a1","SALK_049888C","CofC","COFC-GC1",3,"A",2,16,7,22.5,38.5,"standard GC","BC_S11Farm_0245"
"1a1","SALK_049888C","CofC","COFC-GC2",9,"A",4,22,10,21.6,38.2,"standard GC","BC_S11Farm_0245"
"1a1","SALK_049990C","BC","BC-GC1",1,"K",1,NA,NA,NA,40.51,"standard GC","BC_S11Farm_0247"
"1a1","SALK_049990C","CofC","COFC-GC1",6,"L",6,16,10,17.3,24.8,"standard GC","BC_S11Farm_0247"
"1a1","SALK_049990C","CofC","COFC-GC2",11,"F",6,19,6,17.7,36.5,"standard GC","BC_S11Farm_0247"
"1a1","SALK_050000C","BC","BC-GC1",1,"H",5,88,10,28.3,36.99,"standard GC","BC_S11Farm_0248"
"1a1","SALK_050000C","CofC","COFC-GC1",3,"B",6,12,5,15.5,NA,"standard GC","BC_S11Farm_0248"
"1a1","SALK_050000C","CofC","COFC-GC2",7,"I",5,18,9,16.2,35.1,"standard GC","BC_S11Farm_0248"
"1a1","SALK_050130C","BC","BC-GC1",5,"D",1,45,6,28.1,53.45,"standard GC","BC_S11Farm_0255"
"1a1","SALK_050130C","CofC","COFC-GC1",6,"B",2,13,3,14.7,22.5,"standard GC","BC_S11Farm_0255"
"1a1","SALK_050130C","CofC","COFC-GC2",12,"K",3,31,10,25.6,29.4,"standard GC","BC_S11Farm_0255"
"1a1","SALK_050141C","BC","BC-GC1",4,"L",2,87,16,32,60.58,"standard GC","BC_S11Farm_0256"
"1a1","SALK_050141C","CofC","COFC-GC1",2,"K",4,16,6,19.6,30.5,"standard GC","BC_S11Farm_0256"
"1a1","SALK_050141C","CofC","COFC-GC2",9,"A",1,9,4,13.4,31.6,"standard GC","BC_S11Farm_0256"
"1a1","SALK_050145C","BC","BC-GC1",3,"F",6,60,22,22.5,33.68,"standard GC","BC_S11Farm_0257"
"1a1","SALK_050145C","CofC","COFC-GC1",6,"E",4,25,3,27.3,36.5,"standard GC","BC_S11Farm_0257"
"1a1","SALK_050145C","CofC","COFC-GC2",8,"G",2,17,7,21.7,29.1,"standard GC","BC_S11Farm_0257"
"1a1","SALK_050152C","BC","BC-GC1",1,"H",1,64,0,29.1,52.97,"standard GC","BC_S11Farm_0258"
"1a1","SALK_050152C","CofC","COFC-GC1",1,"K",5,13,11,17.1,21.9,"standard GC","BC_S11Farm_0258"
"1a1","SALK_050152C","CofC","COFC-GC2",9,"I",6,22,2,21.6,40.3,"standard GC","BC_S11Farm_0258"
"1a1","SALK_050182C","BC","BC-GC1",3,"H",6,58,9,28.7,45.93,"standard GC","BC_S11Farm_0259"
"1a1","SALK_050182C","CofC","COFC-GC1",2,"J",5,12,3,16.4,26.5,"standard GC","BC_S11Farm_0259"
"1a1","SALK_050182C","CofC","COFC-GC2",9,"I",4,29,3,25,37.9,"standard GC","BC_S11Farm_0259"
"1a1","SALK_050203C","BC","BC-GC1",3,"J",5,75,4,30,40.66,"standard GC","BC_S11Farm_0260"
"1a1","SALK_050203C","CofC","COFC-GC1",3,"B",5,18,5,18.1,43.1,"standard GC","BC_S11Farm_0260"
"1a1","SALK_050203C","CofC","COFC-GC2",11,"C",4,32,5,26.7,NA,"standard GC","BC_S11Farm_0260"
"1a1","SALK_050239C","BC","BC-GC1",2,"L",5,59,17,20.4,49.1,"standard GC","BC_S11Farm_0447"
"1a1","SALK_050239C","CofC","COFC-GC1",5,"A",6,12,4,13.9,24,"standard GC","BC_S11Farm_0447"
"1a1","SALK_050239C","CofC","COFC-GC2",11,"I",6,24,4,19.4,35,"standard GC","BC_S11Farm_0447"
"1a1","SALK_050261C","BC","BC-GC1",3,"D",1,66,13,23.8,44.86,"standard GC","BC_S11Farm_0261"
"1a1","SALK_050261C","CofC","COFC-GC1",1,"I",3,8,4,12.6,19.3,"standard GC","BC_S11Farm_0261"
"1a1","SALK_050261C","CofC","COFC-GC2",11,"C",1,12,2,15.2,34.2,"standard GC","BC_S11Farm_0261"
"1a1","SALK_050266C","BC","BC-GC1",6,"F",3,NA,NA,NA,61.94,"standard GC","BC_S11Farm_0262"
"1a1","SALK_050266C","CofC","COFC-GC1",6,"H",6,20,3,18.2,39.3,"standard GC","BC_S11Farm_0262"
