accession,plant_num,plant_id,parent_id,seed_stock_location,seed_quantity,isolation_id,comments
SALK_016929C,1B,CofC_S11Farm_0182,,S11Farm_Box05_21,220,I12-K06-3,
SALK_017221C,1,CofC_S11Farm_0183,,,,,duplicate #1 plants
SALK_017221C,1,CofC_S11Farm_0184,,,,,duplicate #1 plants
SALK_017221C,2,CofC_S11Farm_0185,,S11Farm_Box09_5,100,,
SALK_017221C,2H,CofC_S11Farm_0186,,,,,
SALK_017873C,1,CofC_S11Farm_0187,,S11Farm_Box07_15,100,I11-G05-2,
SALK_017873C,2,CofC_S11Farm_0188,,Hanna_Box02_40,20,I11-V12-10,
SALK_017873C,1H,CofC_S11Farm_0189,,,,I11-V08-4,
SALK_018011C,,CofC_S11Farm_0190,,,,,FARM_FAIL
SALK_018248C,2,CofC_S11Farm_0191,,,,,
SALK_018362C,2,CofC_S11Farm_0192,,S11Farm_Box11_24,50,I11-G04-29,
SALK_018362C,1A,CofC_S11Farm_0193,,S11Farm_Box10_20,3,I12-G04-11,
SALK_018362C,1B,CofC_S11Farm_0194,,S11Farm_Box05_58,100,,
SALK_018613C,1A,CofC_S11Farm_0195,,S11Farm_Box08_29,50,I12-W06-6,
SALK_018613C,1B,CofC_S11Farm_0196,,S11Farm_Box07_30,6,,
SALK_018613C,2A,CofC_S11Farm_0197,,S11Farm_Box04_69,50,,
SALK_018613C,2B,CofC_S11Farm_0198,,S11Farm_Box07_36,11,,
SALK_018664C,2,CofC_S11Farm_0199,,S11Farm_Box02_6,100,I11-V05-15,
SALK_018664C,3,CofC_S11Farm_0200,,,,I11-V06-7,
SALK_018664C,4,CofC_S11Farm_0201,,,,I11-V06-6,
SALK_018664C,1A,CofC_S11Farm_0202,,S11Farm_Box08_29,50,I12-W06-17,
SALK_018664C,1B,CofC_S11Farm_0203,,S11Farm_Box07_30,6,,
SALK_018664C,2B,CofC_S11Farm_0204,,S11Farm_Box07_36,11,I11-V13-4,
SALK_019080C,2,CofC_S11Farm_0205,,S11Farm_Box12_13,60,I12-V03-12,
SALK_019080C,2H,CofC_S11Farm_0206,,,,,
SALK_019727C,1A,CofC_S11Farm_0207,,S11Farm_Box03_51,50,,
SALK_019727C,1B,CofC_S11Farm_0208,,S11Farm_Box11_19,100,I11-W04-5,
SALK_019727C,1C,CofC_S11Farm_0209,,,,,
SALK_019727C,2A,CofC_S11Farm_0210,,S11Farm_Box02_25,50,I11-W03-8,
SALK_019727C,2B,CofC_S11Farm_0211,,S11Farm_Box11_72,10,,
SALK_019772C,1,CofC_S11Farm_0212,,,,,no seed or DNA
SALK_019772C,2,CofC_S11Farm_0213,,,,,no seed or DNA
SALK_020097C,1,CofC_S11Farm_0214,,S11Farm_Box09_1,80,,no DNA isolations
SALK_020097C,2,CofC_S11Farm_0215,,S11Farm_Box08_81,100,,two DNA isolations
SALK_020097C,1B,CofC_S11Farm_0216,,,,I12-G04-23,no seed
SALK_020153C,1,CofC_S11Farm_0217,,S11Farm_Box02_29,100,I12-G04-26,
